Corolla_Betankungen_reconstructed
B.R.Dutkiewicz (https://github.com/bartdutkiewicz/Tankstatistik)
Toyota Corolla Bj.1998 Benzin 920kg 81kw 6000U/min 195kmhmax 1587cm3 40L-Tank
UT164AEB103030101
Aufbereitete Daten
"Tag"	"Monat"	"Jahr"	"Stunde"	"Minute"	"Liter"	"Euro_Liter"	"Euro"	"km"	"km_gesamt"	"Datum"	"Tage"	"Liter_km"	"Euro_km"	"km_Tag"	"Liter_Tag"	"Euro_Tag"
20	6	2014	NA	NA	40	1.5	60	440	108823	2014-06-20	25	0.0909	0.1363	17.608	1.6	2.4
15	7	2014	NA	NA	38.59	1.569	60.55	503	109326	2014-07-15	38	0.0767	0.1203	13.242	1.0155	1.5934
22	8	2014	NA	NA	37.23	1.559	58.04	478	109804	2014-08-22	51	0.0778	0.1213	9.382	0.73	1.138
12	10	2014	NA	NA	38.38	1.489	57.15	359	110163	2014-10-12	26	0.107	0.1593	13.796	1.4762	2.1981
7	11	2014	NA	NA	33.29	1.439	47.9	451	110614	2014-11-07	31	0.0738	0.1062	14.545	1.0739	1.5452
8	12	2014	NA	NA	40.12	1.389	55.73	452	111066	2014-12-08	45	0.0889	0.1234	10.033	0.8916	1.2384
22	1	2015	NA	NA	38	1.29	49.02	454	111520	2015-01-22	43	0.0836	0.1079	10.57	0.8837	1.14
6	3	2015	NA	NA	40.24	1.419	57.1	513	112033	2015-03-06	2	0.0784	0.1113	256.55	20.12	28.55
8	3	2015	16	28	38.9	1.419	55.2	293	112326	2015-03-08	3	0.1327	0.1883	97.733	12.9667	18.4
11	3	2015	16	46	37.09	1.449	37.09	329	112655	2015-03-11	38	0.1127	0.1127	8.658	0.9761	0.9761
18	4	2015	NA	NA	25.42	1.439	36.58	463	113119	2015-04-18	7	0.0549	0.0789	66.2	3.6314	5.2257
25	4	2015	13	42	37.23	1.419	52.83	493	113612	2015-04-25	22	0.0755	0.1071	22.427	1.6923	2.4014
17	5	2015	NA	NA	10	1.439	14.29	125	113737	2015-05-17	9	0.08	0.1143	13.889	1.1111	1.5878
26	5	2015	NA	NA	37.47	1.449	54.3	471	114208	2015-05-26	29	0.0796	0.1153	16.234	1.2921	1.8724
24	6	2015	NA	NA	40	1.439	57.56	445	114653	2015-06-24	29	0.0899	0.1294	15.338	1.3793	1.9848
23	7	2015	NA	NA	38.17	1.439	57.22	454	115107	2015-07-23	29	0.0841	0.126	15.655	1.3162	1.9731
21	8	2015	NA	NA	10.01	1.424	14.25	80	115187	2015-08-21	1	0.1253	0.1783	79.9	10.01	14.25
22	8	2015	NA	NA	31.3	1.338	41.89	433	115619	2015-08-22	18	0.0723	0.0968	24.044	1.7389	2.3272
9	9	2015	19	9	37.72	1.339	50.51	475	116094	2015-09-09	26	0.0795	0.1064	18.258	1.4508	1.9427
5	10	2015	NA	NA	40.03	1.279	51.2	496	116590	2015-10-05	21	0.0807	0.1032	23.614	1.9062	2.4381
