"Liter.Tank.Jahr.m" "Literpreis.Jahr.m" "Euro.Tank.Jahr.m" "KM.Tank.Jahr.m" "Tage.Tank.Jahr.m" "Liter.KM.Jahr.m" "Euro.KM.Jahr.m" "KM.Tag.Jahr.m" "Liter.Tag.Jahr.m" "Euro.Tag.Jahr.m"
"2014" 38.485 1.4945 57.595 451.5 34.5 0.0852380952380952 0.127563676633444 1.66942028985507 1.11550724637681 1.66942028985507
"2015" 37.47 1.419 50.51 451 24 0.0830820399113082 0.1119955654102 2.10458333333333 1.56125 2.10458333333333
"2016" 37.475 1.289 48.54 449 19 0.0834632516703786 0.108106904231626 2.55473684210526 1.97236842105263 2.55473684210526
"2017" 38.53 1.319 50.44 436 31 0.0883715596330275 0.115688073394495 1.62709677419355 1.24290322580645 1.62709677419355
"2018" 26.54 1.459 38.72 219 19 0.121187214611872 0.176803652968037 2.03789473684211 1.39684210526316 2.03789473684211
"2019" 36.91 1.419 51.545 396 38 0.0932070707070707 0.130164141414141 1.35644736842105 0.971315789473684 1.35644736842105
"2020" 37.17 1.314 47.93 452.5 56.5 0.0821436464088398 0.105922651933702 0.848318584070796 0.65787610619469 0.848318584070796
"2021" 38.5 1.609 63.01 491 57 0.0784114052953157 0.128329938900204 1.10543859649123 0.675438596491228 1.10543859649123
"2022" 39.25 1.854 72.685 503.5 83.5 0.0779543197616683 0.144359483614697 0.870479041916168 0.470059880239521 0.870479041916168
"2023" 38.84 1.859 72.435 483.5 66 0.0803309203722854 0.149813857290589 1.0975 0.588484848484848 1.0975
"2024" 39.515 1.774 70.98 484.5 55 0.0815583075335397 0.146501547987616 1.29054545454545 0.718454545454545 1.29054545454545
"2025" 37.53 1.709 64.51 412 40 0.0910922330097087 0.156577669902913 1.61275 0.93825 1.61275
