"Mittel.a" "Mittel.m" "Mittel.diff.abs" "Mittel.diff.rel"
"Liter" 34.2347457627119 37.655 3.42025423728813 9.08313434414589
"Euro.Liter" 1.48913559322034 1.439 -0.0501355932203389 -3.48405790273377
"Euro" 51.0507627118644 50.9 -0.150762711864409 -0.296193932935971
"km" 411.915254237288 443 31.0847457627119 7.01687263266633
"Tage" 36.6779661016949 30.5 -6.17796610169491 -20.2556265629341
"Liter.km" 0.0831111385425668 0.085 0.00188886145743324 2.22218994992145
"Euro.km" 0.123935110891659 0.11489841986456 -0.00903669102709966 -7.86493934185687
"km.Tag" 11.2305914972274 14.5245901639344 3.29399866670707 22.6787718588184
"Liter.Tag" 0.933387245841035 1.23459016393443 0.301202918093391 24.3969964197276
"Euro.Tag" 1.3918646025878 1.66885245901639 0.276987856428593 16.5975041671357
